title,domestic_revenue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
Stuffed,"$13,403","$13,403",Music Box Films,"$1,602",1,N/A,N/A,Documentary,118
The White Sheik,"$44,597","$44,597",Rialto Pictures,"$5,562",1,N/A,N/A,"Comedy,Drama",48
Journey to the South Pacific,"$7,653,913","$14,977,023",IMAX,"$8,137",1,N/A,G,Documentary,"2,267"
The Disappearance of My Mother,"$23,879","$55,749",Kino Lorber,N/A,N/A,N/A,N/A,Documentary,67
The Guardians,"$177,331","$4,167,608",Music Box Films,"$7,479",1,N/A,R,"Drama,War",242
Zen for Nothing,"$12,107","$12,107",Zeitgeist Films,"$1,268",2,N/A,N/A,Documentary,319
Imprisoned,"$12,050","$12,050",Cinema Libre Studio,"$4,381",1,N/A,R,"Drama,Thriller",151
"Cassandro, The Exotico!","$11,897","$11,897",Film Movement,"$2,269",1,N/A,N/A,Documentary,207
Karwaan,"$182,009","$536,525",PackYourBag Films,"$98,460",58,N/A,N/A,"Comedy,Drama",151
Off Season,"$12,544","$12,544",Indican Pictures,"$2,536",2,N/A,N/A,"Drama,Thriller",333
Cobra Kai Premiere Event feat. The Karate Kid,"$185,082","$185,082",Fathom Events,N/A,N/A,N/A,N/A,N/A,251
National Theatre Live: King Lear,"$185,305","$185,305",Fathom Events,N/A,N/A,N/A,N/A,Drama,96
The Accidental Detective 2: In Action,"$179,045","$24,243,825",CJ Entertainment,"$47,367",11,N/A,N/A,"Comedy,Crime,Thriller",193
BuyBust,"$178,471","$223,720",Well Go USA Entertainment,"$77,955",25,N/A,N/A,"Action,Thriller",144
Last Letter,"$180,946","$11,834,622",China Lion Film Distribution,"$80,485",18,N/A,N/A,"Drama,Romance",56
Maquia: When the Promised Flower Blooms,"$185,699","$1,979,604",Eleven Arts,"$71,472",157,N/A,N/A,"Adventure,Animation,Drama,Family,Fantasy",165
Owaranai hito: Miyazaki Hayao,"$187,320","$187,320",GKIDS,"$10,238",4,N/A,N/A,"Biography,Documentary",384
Summer 1993,"$185,903","$1,983,149",Oscilloscope,"$21,307",4,N/A,N/A,"Drama,Family",221
Goldbuster,"$186,135","$57,628,292",Well Go USA Entertainment,"$79,180",24,N/A,N/A,"Comedy,Fantasy",361
The Monkey King 3,"$187,074","$115,084,576",Well Go USA Entertainment,"$95,577",34,N/A,N/A,"Action,Adventure,Fantasy",319
The Bolshoi Ballet: Live From Moscow - Don Quixote,"$187,946","$187,946",Fathom Events,"$187,824",358,N/A,N/A,N/A,33
Made in France,"$9,956","$9,956",Under The Milky Way,"$3,688",1,N/A,N/A,"Crime,Drama,Thriller",465
Island of Lemurs: Madagascar,"$11,272,008","$14,066,067",Warner Bros.,"$188,307",37,N/A,N/A,"Adventure,Biography,Documentary,Family,Short","2,139"
Madeline's Madeline,"$185,576","$197,309",Oscilloscope,"$18,009",1,N/A,N/A,"Drama,Mystery,Thriller",144
Rapid Response,"$13,294","$13,294",Atlas Distribution Company,"$4,497",8,N/A,PG-13,Documentary,158
Peter and the Farm,"$18,123","$18,123",Magnolia Pictures,"$3,844",1,N/A,N/A,Documentary,423
This One's for the Ladies,"$13,688","$13,688",Super,"$13,688",1,N/A,NC-17,Documentary,249
NightLights,"$21,147","$21,147",Indican Pictures,"$6,414",3,N/A,R,Drama,"1,221"
The Cat Rescuers,"$31,540","$31,540",Balcony Releasing,"$4,252",3,N/A,N/A,Documentary,221
National Bird,"$10,656","$10,656",FilmRise,"$3,030",1,N/A,N/A,Documentary,416
My Son,"$14,450","$14,450",Cohen Media Group,"$4,750",3,N/A,N/A,"Drama,Thriller",277
The House with a Clock in Its Walls,"$68,549,695","$131,457,147",Universal Pictures,"$26,608,020","3,592","$42,000,000",PG,"Comedy,Family,Fantasy,Horror,Sci-Fi",467
First Man,"$44,936,545","$105,697,415",Universal Pictures,"$16,006,065","3,640","$59,000,000",PG-13,"Biography,Drama,History",446
Born to Be Wild,"$25,950,798","$41,615,256",Warner Bros.,"$871,478",206,N/A,N/A,"Adventure,Documentary,Short","3,231"
Boy Erased,"$6,788,692","$11,853,081",Focus Features,"$207,057",5,N/A,R,"Biography,Drama",425
My Annoying Brother,"$51,996","$19,162,324",CJ Entertainment,N/A,N/A,N/A,N/A,"Comedy,Drama",374
Hagazussa,"$13,253","$21,487",Doppelganger Releasing,"$6,041",11,N/A,N/A,"Drama,Horror",298
The Woman Who Loves Giraffes,"$41,763","$41,763",Zeitgeist Films,"$1,810",2,N/A,N/A,Documentary,130
Screwball,"$13,967","$13,967",Greenwich Entertainment,"$8,595",13,N/A,N/A,Documentary,319
Have It All -The Movie,"$197,142","$197,142",Atlantic Records,N/A,N/A,N/A,N/A,Documentary,147
The Final Year,"$191,900","$262,286",Magnolia Pictures,"$67,971",35,N/A,N/A,Documentary,347
Rebel Without a Cause,"$199,963","$199,963",Fathom Events,"$116,668",658,N/A,N/A,Drama,100
Fate/Stay Night: Heaven's Feel - I. Presage Flower,"$193,833","$17,422,935",Fathom Events,N/A,N/A,N/A,N/A,"Action,Animation,Drama,Fantasy",210
Frank and Ava,"$18,829","$18,829",Hannover House,"$3,080",1,N/A,N/A,"Biography,Drama,History",431
Touch Me Not,"$13,782","$75,507",Kino Lorber,"$5,616",1,N/A,N/A,Drama,396
The Competition,"$15,622","$15,622",Metrograph Pictures,N/A,N/A,N/A,N/A,Documentary,354
Combat Obscura,"$14,242","$14,242",Oscilloscope,"$10,112",10,N/A,N/A,Documentary,333
Gauguin: Voyage to Tahiti,"$200,140","$3,389,322",Cohen Media Group,"$35,994",6,N/A,N/A,"Biography,Drama,Romance",174
Zama,"$200,600","$489,692",Strand Releasing,"$26,123",3,N/A,N/A,Drama,263
Gemini,"$200,340","$200,340",Neon,"$32,980",4,N/A,R,"Crime,Drama,Mystery,Thriller",277
The Bolshoi Ballet: Live From Moscow - Coppélia,"$202,217","$202,217",Fathom Events,"$202,217",360,N/A,N/A,Comedy,205
Justice Is Mind,"$14,360","$14,360",The Ashton Times,"$5,418",1,N/A,N/A,"Crime,Drama,Mystery,Sci-Fi","1,597"
Our Time,"$14,777","$36,240",Monument Releasing,"$3,000",1,N/A,N/A,Drama,242
ZZ Top: That Little Ol' Band from Texas,"$14,879","$14,879",Abramorama,N/A,N/A,N/A,N/A,"Biography,Documentary,Music",176
The Eyes of My Mother,"$27,099","$29,539",Magnolia Pictures,"$8,908",5,N/A,R,"Drama,Horror",395
Paths of the Soul,"$31,747","$31,747",Icarus Films,"$2,780",1,N/A,N/A,Drama,598
La folle histoire de Max et Léon,$543,"$8,750,678",Distrib Films,N/A,N/A,N/A,N/A,"Comedy,War",292
Amityville: The Awakening,$742,"$8,481,997",Dimension Films,$742,10,N/A,PG-13,"Horror,Thriller",65
The Witness,"$159,305","$159,305",FilmRise,"$14,523",1,N/A,N/A,"Biography,Crime,Documentary,Mystery",577
2:22,$422,"$3,945,729",Magnolia Pictures,$294,3,N/A,PG-13,"Drama,Sci-Fi,Thriller",185
The Hill Chris Climbed: The Gridiron Heroes Story,"$23,487","$23,487",Indican Pictures,N/A,N/A,N/A,N/A,"Biography,Documentary,Family,Sport",626
Anatahan,"$8,171","$8,171",Kino Lorber,N/A,N/A,N/A,N/A,"Drama,War",332
This Last Lonely Place,"$20,507","$20,507",Indican Pictures,"$6,089",2,N/A,N/A,"Crime,Drama,Thriller",507
El Angel,"$109,608","$5,604,680",The Orchard,"$23,348",2,N/A,N/A,"Biography,Crime,Drama",418
Funan,"$15,152","$15,152",GKIDS,"$1,871",1,N/A,N/A,Animation,249
Midnight Family,"$40,549","$40,549",1091 Media,"$3,030",1,N/A,N/A,"Action,Crime,Documentary,Drama",67
Off the Rails,"$34,249","$34,249",The Film Collaborative,"$8,795",1,N/A,N/A,Documentary,409
The Black Dove,"$22,517","$22,517",Indican Pictures,"$7,124",2,N/A,N/A,Drama,507
Julian Schnabel: A Private Portrait,"$9,103","$9,103",Cohen Media Group,N/A,N/A,N/A,N/A,Documentary,241
Trinity Seven The Movie 2: Heavens Library & Crimson Lord,"$15,712","$15,712",Atlas Distribution Company,"$14,853",18,N/A,R,"Action,Animation,Comedy,Fantasy,Romance",319
I Am Not Madame Bovary,"$436,798","$70,826,207",Well Go USA Entertainment,"$181,552",38,N/A,N/A,"Comedy,Drama",409
Wrinkles the Clown,"$14,938","$14,938",Magnolia Pictures,"$28,248",21,N/A,N/A,"Comedy,Documentary,Horror,Mystery",130
A Private War,"$1,633,208","$3,915,207",Aviron Pictures,"$60,491",4,N/A,R,"Biography,Drama,War",425
Piercing,"$15,856","$149,211",Greenwich Entertainment,"$8,752",18,N/A,R,"Horror,Mystery,Thriller",375
Too Late to Die Young,"$16,591","$24,487",KimStim,"$6,196",1,N/A,N/A,Drama,256
Three Peaks,"$16,216","$23,069",Greenwich Entertainment,"$1,419",1,N/A,N/A,Drama,228
Starfish,"$15,849","$15,849",Yellow Veil Pictures,N/A,N/A,N/A,N/A,"Drama,Horror,Sci-Fi",333
Little Joe,"$23,862","$157,492",Magnolia Pictures,"$10,626",12,N/A,N/A,"Drama,Sci-Fi",67
To the Arctic 3D,"$14,559,702","$23,692,624",Warner Bros.,"$270,228",50,N/A,G,Documentary,"2,853"
Ode to Joy,"$17,303","$22,594",IFC Films,"$3,568",2,N/A,R,Comedy,186
Citizen K,"$94,095","$119,625",Greenwich Entertainment,"$10,571",1,N/A,N/A,Documentary,81
Chained for Life,"$17,431","$17,431",Kino International,"$7,415",2,N/A,N/A,Drama,151
Ballon,"$16,792","$11,782,161",Distrib Films,N/A,N/A,N/A,N/A,"Drama,History,Thriller",158
The House That Jack Built,"$87,993","$2,268,855",IFC Films,"$34,273",32,N/A,R,"Crime,Drama,Horror",383
Tremors,"$23,136","$121,038",Film Movement,"$3,340",4,N/A,N/A,Drama,74
Virginia Minnesota,"$16,118","$16,118",Indican Pictures,"$3,844",2,N/A,N/A,"Comedy,Drama",347
Keep the Change,"$202,788","$202,788",Kino Lorber,"$12,445",1,N/A,N/A,"Comedy,Romance",291
The Dating Project,"$208,100","$208,100",Fathom Events,N/A,N/A,N/A,N/A,Documentary,259
Jane,"$1,723,379","$1,921,221",Abramorama,"$58,348",3,N/A,PG,"Biography,Documentary",438
The Cranes Are Flying,"$17,923","$17,923",Janus Films,N/A,N/A,N/A,N/A,"Drama,Romance,War",214
The Treasure of the Sierra Madre,"$215,295","$215,295",Fathom Events,"$144,074",631,N/A,N/A,"Adventure,Drama,Western",352
Joseph Pulitzer: Voice of the People,"$16,970","$16,970",First Run,"$5,686",1,N/A,N/A,Documentary,347
Scandalous: The True Story of the National Enquirer,"$18,759","$18,759",Magnolia Pictures,"$10,837",12,N/A,N/A,Documentary,88
The Producers,"$216,807","$263,277",Fathom Events,"$120,975",629,N/A,N/A,"Comedy,Music",212
Fragments of Truth,"$219,342","$219,342",Fathom Events,N/A,N/A,N/A,N/A,Documentary,252
Default,"$203,775","$27,709,716",CJ Entertainment,"$50,011",19,N/A,N/A,Drama,35
Mazinger Z: INFINITY,"$220,682","$4,812,371",Fathom Events,"$137,451",482,N/A,N/A,"Action,Animation,Sci-Fi",324
"Phoenix, Oregon","$18,356","$18,356",Joma Films,"$2,981",1,N/A,R,Comedy,285
Getting Grace,"$217,812","$217,812",Hannover House,"$103,831",60,N/A,PG-13,"Comedy,Drama",284
A Bad Moms Christmas,"$72,110,659","$130,560,428",STX Entertainment,"$16,759,161","3,615","$28,000,000",R,Comedy,426
The Guilty,"$207,140","$4,598,051",Magnolia Pictures,"$60,050",29,N/A,R,"Crime,Drama,Thriller",77
Agent Mr. Chan,"$208,351","$208,351",China Lion Film Distribution,"$62,234",10,N/A,N/A,"Comedy,Romance",312
Little Pink House,"$220,948","$220,948",Dada Films,"$68,507",9,N/A,N/A,Drama,256
Borg vs. McEnroe,"$231,346","$3,430,165",Neon,"$52,625",51,N/A,R,"Biography,Drama,Sport",263
MFKZ,"$229,423","$461,724",GKIDS,"$6,094",436,N/A,R,"Action,Animation,Comedy,Sci-Fi,Thriller",85
Bishôjo senshi Sailor Moon Super S Special,"$231,434","$231,434",Fathom Events,"$109,707",520,N/A,N/A,Animation,150
Youth,"$1,891,956","$227,091,290",China Lion Film Distribution,"$338,604",30,N/A,N/A,"Drama,Romance,War",382
Superman,"$233,585","$233,585",Fathom Events,"$102,223",394,"$55,000,000",PG,"Action,Adventure,Drama,Sci-Fi",40
Hamlet,"$235,229","$4,630,718",Fathom Events,N/A,N/A,N/A,N/A,Drama,299
Happy End,"$301,718","$2,610,794",Sony Pictures Classics,"$23,091",3,N/A,R,Drama,375
Dark Money,"$217,932","$217,932",PBS Distribution,"$8,100",1,N/A,N/A,Documentary,175
Christine,"$298,525","$313,465",The Orchard,"$13,384",1,N/A,R,"Biography,Drama",444
Matangi/Maya/M.I.A,"$230,808","$469,489",Abramorama,"$43,573",2,N/A,N/A,"Biography,Documentary,Music",98
The Student,"$1,126","$318,123",Under The Milky Way,N/A,N/A,N/A,N/A,Drama,262
The Loving Story,"$3,518","$3,518",Icarus Films,N/A,N/A,N/A,N/A,"Documentary,Drama,History,Romance",426
The Lion in Winter,"$18,177","$18,177",Rialto Pictures,"$5,339",2,N/A,N/A,"Biography,Drama,History",381
The Penguin Counters,$976,$976,First Run,$976,1,N/A,N/A,"Adventure,Documentary",255
Always Shine,"$17,102","$17,102",Oscilloscope,"$4,211",1,N/A,N/A,"Drama,Horror,Mystery,Thriller",402
Extraordinary Ordinary People,$880,$880,First Run,$744,1,N/A,N/A,Documentary,108
Believe,"$890,303","$890,303",Freestyle Releasing,"$477,387",638,N/A,PG,Drama,395
Clash,"$18,215","$143,121",Kino Lorber,N/A,N/A,N/A,N/A,"Drama,Thriller,War",296
A Different American Dream,"$1,172","$1,172",First Run,$848,N/A,N/A,N/A,Documentary,360
Level Five,"$27,000","$27,000",Icarus Films,"$7,161",2,N/A,N/A,"Documentary,Romance,War","1,235"
The Battle of Algiers,"$56,853","$56,853",Rialto Pictures,"$13,536",3,N/A,N/A,"Drama,War",451
It's Not Yet Dark,"$1,227","$5,269",FilmRise,$811,2,N/A,N/A,Documentary,150
Do Not Resist,"$72,791","$72,791",Vanish Films,"$7,150",1,N/A,N/A,Documentary,458
The Polar Express,"$765,154","$765,154",Warner Bros.,N/A,N/A,"$165,000,000",N/A,"Adventure,Animation,Comedy,Family,Fantasy,Musical",416
Out of Blue,"$18,779","$242,847",IFC Films,"$11,719",35,N/A,N/A,"Crime,Drama,Mystery",326
The Forest for the Trees,"$1,410","$1,410",Film Movement,N/A,N/A,N/A,N/A,Drama,348
Almost Friends,"$1,481","$35,842",Orion Pictures,N/A,N/A,N/A,N/A,"Comedy,Drama",49
The Outcasts,"$1,455","$61,250",Swen Releasing,"$1,008",11,N/A,PG-13,Comedy,262
The Romans,"$19,705","$19,705",Indican Pictures,"$3,256",1,N/A,N/A,Drama,584
Never,"$20,431","$20,431",Indican Pictures,"$4,312",2,N/A,N/A,Drama,500
The Greasy Strangler,"$45,878","$67,427",FilmRise,"$22,500",11,N/A,N/A,"Comedy,Horror",451
Magnus,"$8,944","$101,739",FilmRise,"$1,204",1,N/A,N/A,Documentary,409
Girls of the Sun,"$19,712","$168,771",Cohen Media Group,"$7,801",8,N/A,N/A,"Drama,War",305
The Perfect Race,"$24,729","$24,729",Five & Two Pictures,"$3,400",1,N/A,N/A,Drama,120
Prassthanam,"$19,984","$97,204",PackYourBag Films,"$12,737",32,N/A,N/A,"Action,Drama",144
The Sound of Silence,"$20,013","$21,994",IFC Films,"$5,449",2,N/A,N/A,Drama,151
Detour,"$1,788","$1,788",Magnolia Pictures,$145,5,N/A,R,"Action,Thriller",346
Alien Intrusion: Unmasking a Deception,"$237,411","$237,411",Fathom Events,N/A,N/A,N/A,N/A,Documentary,355
Armstrong,"$19,740","$80,169",Gravitas Ventures,"$3,071",12,N/A,N/A,"Biography,Documentary",214
Jane and Emma,"$380,030","$380,030",Excel Entertainment,"$84,512",21,N/A,PG,Drama,487
Redoubt,"$24,197","$24,197",Grasshopper Film,"$5,253",1,N/A,N/A,Drama,102
The Gospel of Eureka,"$20,039","$20,039",Kino Lorber,"$3,517",1,N/A,N/A,"Documentary,Music",368
Light of My Life,"$20,056","$547,161",Saban Films,"$9,358",28,N/A,R,"Drama,Sci-Fi,Thriller",186
General Magic,"$20,046","$20,046",Gravitas Ventures,"$2,267",5,N/A,N/A,Documentary,277
Wicked Witches,"$21,600","$21,600",Nocturnal Features,"$21,600",10,N/A,N/A,Horror,186
The Hole in the Ground,"$21,072","$3,373,474",A24,N/A,N/A,N/A,R,"Horror,Mystery",347
The All Americans,"$20,324","$20,324",Abramorama,"$7,805",3,N/A,N/A,Adult,95
Island of Lemurs: Madagascar,"$11,272,008","$14,066,067",Warner Bros.,"$188,307",37,N/A,N/A,"Adventure,Biography,Documentary,Family,Short","2,139"
RWBY: Argus Limited,"$238,379","$238,379",Fathom Events,N/A,N/A,N/A,N/A,"Action,Adventure,Animation,Comedy,Drama,Fantasy,Sci-Fi,Thriller",68
Generation Wealth,"$237,709","$287,709",Magnolia Pictures,"$35,834",4,N/A,R,Documentary,165
Skate Kitchen,"$236,799","$287,307",Magnolia Pictures,"$18,065",1,N/A,R,Drama,144
Hyènes,"$24,672","$24,672",Metrograph Pictures,N/A,N/A,N/A,N/A,"Comedy,Drama",298
Light from Light,"$23,189","$23,189",Grasshopper Film,"$4,719",2,N/A,N/A,Drama,102
The Fireflies Are Gone,"$245,006","$245,006",Entertainment One,"$51,119",25,N/A,N/A,Drama,105
Batti Gul Meter Chalu,"$249,539","$635,869",Eros International,"$153,847",64,N/A,N/A,Drama,102
London Fields,"$252,676","$487,420",GVN Releasing,"$168,575",613,N/A,R,"Crime,Mystery,Thriller",70
Best F(r)iends: Volume 1,"$252,410","$290,064",Fathom Events,"$131,671",409,N/A,R,"Comedy,Drama,Thriller",277
The Square,"$1,502,347","$9,493,791",Magnolia Pictures,"$74,233",4,N/A,R,"Comedy,Drama",431
Big,"$258,507","$258,507",Fathom Events,"$141,578",689,N/A,N/A,"Comedy,Drama,Fantasy,Romance",170
Across the Universe,"$258,618","$258,618",Fathom Events,"$118,217",439,N/A,PG-13,"Drama,Fantasy,History,Music,Musical,Romance",156
What They Had,"$260,136","$533,579",Bleecker Street Media,"$17,683",4,N/A,R,Drama,77
"Intent to Destroy: Death, Denial & Depiction","$18,340","$18,340",GathrFilms,N/A,N/A,N/A,N/A,"Documentary,History",393
Red Christmas,"$2,255","$2,255",Artsploitation Films,$280,1,N/A,N/A,"Horror,Thriller",129
Under the Sun,"$105,036","$305,993",Icarus Films,"$15,454",2,N/A,N/A,Documentary,544
The King,"$259,291","$273,601",Oscilloscope,"$29,050",2,N/A,R,Documentary,193
Back to Burgundy,"$257,610","$11,625,884",Music Box Films,"$15,157",5,N/A,N/A,"Comedy,Drama",284
In Between,"$107,977","$1,679,952",Film Movement,"$5,888",2,N/A,N/A,Drama,361
Miles,"$2,537","$2,537",Freestyle Releasing,"$2,147",2,N/A,N/A,"Comedy,Drama,Family,Sport",206
New World Order,"$20,205","$20,205",Indican Pictures,"$2,790",2,N/A,N/A,"Action,Crime,Drama",465
A Grin Without A Cat,"$43,616","$43,616",Icarus Films,"$8,449",1,N/A,N/A,Documentary,"5,724"
Take Me,"$2,583","$2,583",The Orchard,"$2,583",2,N/A,N/A,"Comedy,Crime",241
Behind the White Glasses,"$2,223","$4,770",Kino Lorber,$900,1,N/A,N/A,"Biography,Documentary",255
7 from Etheria,"$2,208","$2,208",Parade Deck Films,$940,1,N/A,N/A,Horror,178
Dayveon,"$2,077","$2,077",FilmRise,"$1,592",3,N/A,N/A,Drama,110
The Ghoul,"$2,032","$18,459",Arrow Films,$249,1,N/A,N/A,"Drama,Thriller",150
"Accidental Courtesy: Daryl Davis, Race & America","$1,940","$1,940",First Run,"$1,452",1,N/A,N/A,"Biography,Documentary,History",360
Apprentice,"$2,578","$60,752",Film Movement,N/A,N/A,N/A,N/A,Drama,304
No Home Movie,"$32,757","$32,757",Icarus Films,N/A,N/A,N/A,N/A,Documentary,683
Kepler's Dream,"$2,923","$2,923",Independent,"$1,582",11,N/A,N/A,"Adventure,Drama,Family,Mystery,Western",35
Tanna,"$46,654","$102,225",Lightyear Entertainment,"$5,711",2,N/A,N/A,"Adventure,Drama,Romance",472
Celebration,"$22,557","$44,898",KimStim,"$5,034",1,N/A,N/A,Documentary,132
1898: Our Last Men in the Philippines,"$2,848","$1,995,045",Sony Pictures Releasing,"$1,844",10,N/A,R,"Drama,History,War",304
Wildlife,"$1,050,616","$3,321,351",IFC Films,"$104,589",4,N/A,PG-13,Drama,439
Demons,"$2,900","$2,900",Uncork'd Entertainment,"$1,202",2,N/A,N/A,Horror,88
Vox Lux,"$727,119","$1,399,272",Neon,"$155,714",6,N/A,R,"Drama,Music",390
Chasing Einstein,"$24,057","$24,057",Atlas Distribution Company,"$9,708",4,N/A,N/A,Documentary,151
Invisible Life,"$146,535","$1,661,611",Amazon Studios,"$8,127",2,N/A,R,Drama,53
Daughter of the Nile,"$2,640","$2,640",Cohen Media Group,N/A,N/A,N/A,N/A,"Crime,Drama",66
Santoalla,"$2,684","$2,684",Oscilloscope,$489,1,N/A,N/A,"Documentary,Mystery",166
I Dream in Another Language,"$2,739","$2,739",FilmRise,$810,1,N/A,N/A,"Drama,Romance",157
Piranhas,"$23,494","$2,298,525",Music Box Films,"$2,898",1,N/A,N/A,"Crime,Drama",193
Donnybrook,"$26,284","$26,284",IFC Films,"$9,802",80,N/A,R,"Drama,Thriller",361
"Leaving Home, Coming Home: A Portrait of Robert Frank","$27,073","$27,073",Greenwich Entertainment,"$4,248",1,N/A,N/A,Documentary,258
El Norte,"$27,920","$27,920",Fathom Events,"$27,920",179,N/A,N/A,Drama,149
The Wind,"$28,252","$130,974",IFC Films,"$14,138",30,N/A,R,"Horror,Western",312
Asako I & II,"$25,328","$626,871",Grasshopper Film,"$5,690",2,N/A,N/A,"Drama,Romance",270
Kind Hearts and Coronets,"$29,724","$73,913",Rialto Pictures,"$8,004",1,N/A,N/A,"Comedy,Crime",76
Eating You Alive,"$260,534","$260,534",Fathom Events,N/A,N/A,N/A,N/A,Documentary,271
Hotel by the River,"$28,354","$101,879",The Cinema Guild,"$5,534",1,N/A,N/A,Drama,361
Memory: The Origins of Alien,"$31,378","$37,272",Screen Media Films,"$14,704",19,N/A,N/A,Documentary,130
Neither Wolf Nor Dog,"$589,289","$589,289",InYo Entertainment,N/A,N/A,N/A,N/A,Drama,"1,117"
Doctor Who,"$264,629","$264,629",Fathom Events,N/A,N/A,N/A,N/A,"Adventure,Drama,Family,Sci-Fi",204
The Endless,"$272,020","$956,425",Well Go USA Entertainment,"$9,083",1,N/A,N/A,"Fantasy,Horror,Sci-Fi,Thriller",270
Kings,"$274,635","$910,269",The Orchard,"$163,289",215,N/A,R,"Crime,Drama,Romance,Thriller",249
Wrestle,"$26,597","$26,597",Oscilloscope,"$6,027",1,N/A,N/A,"Documentary,Sport",354
The Day Shall Come,"$26,972","$543,993",IFC Films,"$14,854",30,N/A,N/A,"Comedy,Crime",137
Detective Dee: The Four Heavenly Kings,"$262,963","$90,040,771",Well Go USA Entertainment,"$126,929",31,N/A,N/A,"Action,Adventure,Drama,Fantasy",158
The Load,"$28,118","$28,118",Grasshopper Film,"$4,094",1,N/A,N/A,Drama,165
Disney's Newsies: The Broadway Musical!,"$282,429","$282,429",Fathom Events,"$122,524",647,N/A,PG,Musical,159
But Deliver Us from Evil,"$285,169","$285,169",Indican Pictures,"$99,541",247,N/A,N/A,"Horror,Thriller",326
Andy Irons: Kissed by God,"$285,933","$430,393",Fathom Events,N/A,N/A,N/A,N/A,Documentary,221
More Than Funny,"$290,498","$290,498",Fathom Events,N/A,N/A,N/A,N/A,Comedy,75
Sunset Blvd.,"$299,645","$299,645",Fathom Events,"$169,067",628,N/A,N/A,"Drama,Film-Noir",233
The Bolshoi Ballet: Live From Moscow - Giselle,"$302,681","$302,681",Fathom Events,"$244,588",357,N/A,N/A,N/A,268
Showtime Championship Boxing: Deontay Wilder vs. Tyson Fury,"$304,482","$304,482",Fathom Events,"$304,482",486,N/A,N/A,Sport,34
Science Fair,"$276,195","$277,338",National Geographic Entertainment,"$11,231",1,N/A,PG,Documentary,112
In the Fade,"$321,011","$5,104,991",Magnolia Pictures,"$10,455",3,N/A,R,"Crime,Drama,Thriller",370
Golden Job,"$285,795","$47,279,677",Well Go USA Entertainment,"$121,391",34,N/A,N/A,"Action,Adventure",95
The Bad Kids,"$6,226","$6,226",FilmRise,"$1,564",1,N/A,N/A,Documentary,381
Justice,"$3,259","$3,259",Independent,"$2,154",10,N/A,R,Western,108
Son of Bigfoot,"$289,308","$47,046,281",Viva Pictures Distribution,N/A,N/A,N/A,PG,"Adventure,Animation,Comedy,Family,Fantasy",277
Tower,"$101,987","$101,987",Kino Lorber,N/A,N/A,N/A,N/A,"Animation,Crime,Documentary",460
The Levelling,"$3,040","$118,451",Monterey Media,$160,1,N/A,R,Drama,283
Damsel,"$305,136","$323,235",Magnolia Pictures,"$20,291",3,N/A,R,"Adventure,Comedy,Crime,Drama,Romance,Western",193
Spices of Liberty,"$13,463","$13,463",Hannover House,"$6,075",1,N/A,PG,"Drama,Family,Romance",437
Bugs,"$3,742","$3,742",Kino Lorber,N/A,N/A,N/A,N/A,Documentary,214
Planetarium,"$3,262","$546,584",Swen Releasing,$625,1,N/A,N/A,"Drama,Fantasy,Mystery,Romance,Thriller",143
On the Map,"$17,099","$17,099",Hey Jude Productions,$151,1,N/A,N/A,"Documentary,Sport",402
Bad Match,"$3,351","$3,351",Orion Pictures,N/A,N/A,N/A,N/A,Thriller,63
Le joli mai,"$55,038","$55,038",Icarus Films,"$10,662",3,N/A,N/A,Documentary,"1,936"
Amanda & Jack Go Glamping,"$3,352","$3,352",Orion Pictures,N/A,N/A,N/A,N/A,"Comedy,Drama,Romance",56
Batman & Robin,"$28,597","$28,793",Fathom Events,N/A,N/A,"$125,000,000",PG-13,"Action,Sci-Fi",273
"Love, Sweat and Tears","$3,482","$3,482",Kino Lorber,$512,1,N/A,N/A,Documentary,269
Who's Crazy?,"$3,497","$3,497",Kino Lorber,"$1,355",1,N/A,N/A,Drama,297
Speed Sisters,"$3,423","$3,423",First Run,$370,1,N/A,N/A,"Adventure,Documentary,Drama,Sport",339
La Belle Noiseuse,"$3,540","$3,540",Cohen Media Group,"$1,887",1,N/A,N/A,Drama,42
In the Aisles,"$28,394","$694,586",Music Box Films,$922,1,N/A,N/A,Drama,242
Soul on a String,"$3,669","$491,294",Film Movement,"$1,355",2,N/A,N/A,Drama,227
Lionel Richie at Glastonbury,"$30,123","$30,123",Fathom Events,N/A,N/A,N/A,N/A,Music,84
The Nun,"$30,245","$32,659",Rialto Pictures,"$6,273",1,N/A,N/A,Drama,403
Vault,"$29,491","$86,630",Grindstone Entertainment,N/A,N/A,N/A,R,"Action,Crime,Drama,History,Thriller",249
Recorder: The Marion Stokes Project,"$47,755","$47,755",Zeitgeist Films,"$8,216",1,N/A,N/A,Documentary,88
MET Opera: Magic Flute,"$307,686","$307,686",Fathom Events,"$307,686",647,N/A,N/A,N/A,34
The Bolshoi Ballet: Live From Moscow - Romeo and Juliet,"$313,088","$313,088",Fathom Events,"$256,025",361,N/A,N/A,N/A,345
The Ground Beneath My Feet,"$29,251","$29,251",Strand Releasing,"$3,295",1,N/A,N/A,Drama,200
The Opera House,"$320,079","$325,235",Fathom Events,"$191,466",604,N/A,N/A,Documentary,353
Los Reyes,"$30,418","$30,418",Grasshopper Film,"$5,661",2,N/A,N/A,Documentary,179
Sorry Angel,"$30,628","$1,636,273",Strand Releasing,"$6,559",1,N/A,N/A,"Drama,Romance",361
